symbol,primary
sh600030,data/sh600030.csv
sh600036,data/sh600036.csv
sh600104,data/sh600104.csv
sh600276,data/sh600276.csv
sh600309,data/sh600309.csv
sh600519,data/sh600519.csv
sh600887,data/sh600887.csv
sh600900,data/sh600900.csv
sh601012,data/sh601012.csv
sh601088,data/sh601088.csv
sh601318,data/sh601318.csv
sh601899,data/sh601899.csv
sz000002,data/sz000002.csv
sz000333,data/sz000333.csv
sz000858,data/sz000858.csv
sz002415,data/sz002415.csv
sz002475,data/sz002475.csv
sz002714,data/sz002714.csv
sz300059,data/sz300059.csv
sz300750,data/sz300750.csv
